sweep_time,choch_time,type,price
2026-06-10 09:45:00,2026-06-10 14:30:00,VALID_BEARISH_SWEEP,1.15532
2026-06-17 21:45:00,2026-06-17 22:00:00,VALID_BEARISH_SWEEP,1.15426
2026-06-12 13:15:00,2026-06-12 15:00:00,VALID_BEARISH_SWEEP,1.15746
2026-06-19 14:15:00,2026-06-19 16:30:00,VALID_BEARISH_SWEEP,1.14666
2026-06-08 11:30:00,2026-06-08 14:00:00,VALID_BULLISH_SWEEP,1.15118
2026-06-15 12:00:00,2026-06-15 16:15:00,VALID_BULLISH_SWEEP,1.16014
