time,open,high,low,close,tick_volume,spread,real_volume
2026-06-05 14:00:00,1.16403,1.16405,1.16343,1.1635900000000001,782,2,0
2026-06-05 14:15:00,1.1635900000000001,1.16394,1.16345,1.16389,699,0,0
2026-06-05 14:30:00,1.16388,1.16395,1.16332,1.16358,698,0,0
2026-06-05 14:45:00,1.16358,1.16419,1.1634,1.16415,749,0,0
2026-06-05 15:00:00,1.16415,1.16428,1.16381,1.16401,982,2,0
2026-06-05 15:15:00,1.164,1.16406,1.16345,1.16345,1017,0,0
2026-06-05 15:30:00,1.16345,1.16352,1.16052,1.1607,3248,0,0
2026-06-05 15:45:00,1.1607,1.16082,1.15862,1.15865,2341,0,0
2026-06-05 16:00:00,1.15865,1.15997,1.15838,1.15955,3378,0,0
2026-06-05 16:15:00,1.15955,1.15988,1.15838,1.15846,1952,0,0
2026-06-05 16:30:00,1.15846,1.15866,1.15761,1.15808,2279,0,0
2026-06-05 16:45:00,1.15808,1.15854,1.15714,1.15719,2314,0,0
2026-06-05 17:00:00,1.15719,1.15805,1.15607,1.15622,2654,0,0
2026-06-05 17:15:00,1.15622,1.15623,1.1553499999999999,1.15558,2026,0,0
2026-06-05 17:30:00,1.15558,1.15618,1.15481,1.15515,1821,0,0
2026-06-05 17:45:00,1.15515,1.15602,1.15513,1.1559,1902,0,0
2026-06-05 18:00:00,1.15589,1.156,1.15453,1.15465,1920,1,0
2026-06-05 18:15:00,1.15465,1.15509,1.15424,1.1546,1920,0,0
2026-06-05 18:30:00,1.1546,1.1548,1.15339,1.15365,1534,0,0
2026-06-05 18:45:00,1.15365,1.15366,1.15303,1.15322,1361,0,0
2026-06-05 19:00:00,1.15322,1.1532499999999999,1.1525400000000001,1.1528,1707,0,0
2026-06-05 19:15:00,1.1528,1.15305,1.15222,1.15263,1665,1,0
2026-06-05 19:30:00,1.1526399999999999,1.15265,1.15215,1.15235,1058,0,0
2026-06-05 19:45:00,1.15244,1.1533,1.15232,1.15322,1144,1,0
2026-06-05 20:00:00,1.15322,1.1533,1.1526399999999999,1.15288,1055,0,0
2026-06-05 20:15:00,1.15288,1.15295,1.15255,1.15268,978,2,0
2026-06-05 20:30:00,1.1527,1.15275,1.15219,1.15225,835,1,0
2026-06-05 20:45:00,1.15225,1.15253,1.15181,1.15242,1121,1,0
2026-06-05 21:00:00,1.15243,1.15251,1.1519,1.1521,1020,0,0
2026-06-05 21:15:00,1.1521,1.15259,1.1519,1.15224,980,0,0
2026-06-05 21:30:00,1.15224,1.15267,1.15214,1.1522999999999999,726,2,0
2026-06-05 21:45:00,1.15229,1.15289,1.15207,1.15229,1015,0,0
2026-06-05 22:00:00,1.15229,1.15235,1.15187,1.15199,794,0,0
2026-06-05 22:15:00,1.15199,1.15223,1.15177,1.15218,727,0,0
2026-06-05 22:30:00,1.15218,1.15247,1.1519300000000001,1.1524,719,0,0
2026-06-05 22:45:00,1.1524,1.15273,1.15231,1.15251,761,1,0
2026-06-05 23:00:00,1.1525,1.15252,1.1516899999999999,1.1518,463,3,0
2026-06-05 23:15:00,1.1518,1.15239,1.15175,1.15234,352,3,0
2026-06-05 23:30:00,1.15235,1.15261,1.15215,1.15224,405,3,0
2026-06-05 23:45:00,1.15223,1.15245,1.15186,1.15199,592,3,0
2026-06-08 00:00:00,1.15085,1.15128,1.15009,1.15117,238,20,0
2026-06-08 00:15:00,1.15117,1.15136,1.15115,1.1513200000000001,162,23,0
2026-06-08 00:30:00,1.1513200000000001,1.15139,1.15093,1.15099,216,15,0
2026-06-08 00:45:00,1.15099,1.15118,1.15072,1.15092,239,12,0
2026-06-08 01:00:00,1.15092,1.1517,1.15087,1.15168,813,0,0
2026-06-08 01:15:00,1.15168,1.15186,1.15128,1.15134,729,3,0
2026-06-08 01:30:00,1.15134,1.15165,1.15117,1.15139,382,2,0
2026-06-08 01:45:00,1.15139,1.15151,1.15099,1.1513,501,0,0
2026-06-08 02:00:00,1.1513,1.15178,1.1513,1.15174,392,2,0
2026-06-08 02:15:00,1.15174,1.15201,1.1517,1.15181,359,0,0
2026-06-08 02:30:00,1.15181,1.15205,1.15174,1.15194,269,2,0
2026-06-08 02:45:00,1.15194,1.15227,1.15179,1.15218,329,3,0
2026-06-08 03:00:00,1.15218,1.15245,1.15209,1.15229,481,0,0
2026-06-08 03:15:00,1.15229,1.15246,1.15208,1.15225,400,1,0
2026-06-08 03:30:00,1.15226,1.15282,1.15224,1.1528100000000001,661,0,0
2026-06-08 03:45:00,1.15282,1.15335,1.15277,1.15328,705,0,0
2026-06-08 04:00:00,1.1533,1.15347,1.15299,1.15303,867,0,0
2026-06-08 04:15:00,1.15303,1.15308,1.15176,1.15194,1928,0,0
2026-06-08 04:30:00,1.15194,1.15245,1.15114,1.15238,1783,0,0
2026-06-08 04:45:00,1.15238,1.1527,1.15214,1.1526399999999999,1042,0,0
2026-06-08 05:00:00,1.1526399999999999,1.15278,1.152,1.15241,813,2,0
2026-06-08 05:15:00,1.1524,1.153,1.15223,1.1529,808,0,0
2026-06-08 05:30:00,1.1529,1.15294,1.15259,1.1528100000000001,710,0,0
2026-06-08 05:45:00,1.1528100000000001,1.1531500000000001,1.1527,1.15285,727,2,0
2026-06-08 06:00:00,1.15285,1.1529099999999999,1.15258,1.15273,512,2,0
2026-06-08 06:15:00,1.15272,1.15285,1.15255,1.15271,470,2,0
2026-06-08 06:30:00,1.15271,1.153,1.15271,1.153,542,2,0
2026-06-08 06:45:00,1.153,1.15324,1.15283,1.15323,454,2,0
2026-06-08 07:00:00,1.15322,1.15326,1.15289,1.15322,443,2,0
2026-06-08 07:15:00,1.15322,1.15334,1.15305,1.15333,332,2,0
2026-06-08 07:30:00,1.15333,1.15339,1.15296,1.15305,558,0,0
2026-06-08 07:45:00,1.15305,1.15323,1.1529099999999999,1.15304,449,2,0
2026-06-08 08:00:00,1.15304,1.15355,1.15304,1.15318,738,1,0
2026-06-08 08:15:00,1.15318,1.15398,1.15311,1.15343,909,2,0
2026-06-08 08:30:00,1.15343,1.15347,1.15244,1.15279,1460,1,0
2026-06-08 08:45:00,1.15279,1.1529,1.15171,1.15192,937,0,0
2026-06-08 09:00:00,1.15192,1.15224,1.15154,1.15188,1555,0,0
2026-06-08 09:15:00,1.15189,1.15249,1.15186,1.15235,1154,1,0
2026-06-08 09:30:00,1.15235,1.15235,1.15158,1.15179,1173,1,0
2026-06-08 09:45:00,1.15186,1.15215,1.15121,1.15152,1008,0,0
2026-06-08 10:00:00,1.15152,1.1526,1.15133,1.15239,1573,0,0
2026-06-08 10:15:00,1.15239,1.15268,1.15202,1.15233,1334,0,0
2026-06-08 10:30:00,1.15233,1.1526399999999999,1.15189,1.15239,1227,0,0
2026-06-08 10:45:00,1.15239,1.1525400000000001,1.15156,1.15165,1155,0,0
2026-06-08 11:00:00,1.15165,1.15233,1.15139,1.15189,1306,0,0
2026-06-08 11:15:00,1.15189,1.15199,1.15136,1.15199,1166,0,0
2026-06-08 11:30:00,1.15199,1.15209,1.15106,1.15156,1113,1,0
2026-06-08 11:45:00,1.15155,1.1517,1.1507100000000001,1.15082,1405,0,0
2026-06-08 12:00:00,1.15082,1.15112,1.15046,1.15065,1402,0,0
2026-06-08 12:15:00,1.15066,1.15075,1.15008,1.15017,1003,0,0
2026-06-08 12:30:00,1.1502,1.15106,1.14991,1.15053,1750,0,0
2026-06-08 12:45:00,1.15053,1.15144,1.1503700000000001,1.15125,1121,0,0
2026-06-08 13:00:00,1.15125,1.1518,1.15093,1.15171,1222,0,0
2026-06-08 13:15:00,1.15171,1.15202,1.1513200000000001,1.15174,1057,0,0
2026-06-08 13:30:00,1.15174,1.15318,1.1515,1.15246,1555,0,0
2026-06-08 13:45:00,1.15246,1.1528100000000001,1.15228,1.15244,1109,1,0
2026-06-08 14:00:00,1.15244,1.15349,1.15227,1.1534,1515,0,0
2026-06-08 14:15:00,1.15345,1.15421,1.153,1.15404,2359,0,0
2026-06-08 14:30:00,1.15404,1.15438,1.1534200000000001,1.15356,1607,0,0
2026-06-08 14:45:00,1.15356,1.15389,1.15327,1.15364,1381,2,0
2026-06-08 15:00:00,1.15364,1.15434,1.15363,1.15371,1875,0,0
2026-06-08 15:15:00,1.15372,1.1540300000000001,1.15358,1.15391,1284,0,0
2026-06-08 15:30:00,1.15391,1.15436,1.15357,1.1541,1496,0,0
2026-06-08 15:45:00,1.1541,1.15425,1.15346,1.1542,1174,0,0
2026-06-08 16:00:00,1.1542,1.15467,1.15404,1.15438,1716,0,0
2026-06-08 16:15:00,1.15438,1.15547,1.15415,1.15494,1827,0,0
2026-06-08 16:30:00,1.15494,1.15524,1.15436,1.1545,2336,0,0
2026-06-08 16:45:00,1.15454,1.15476,1.1541299999999999,1.1541299999999999,1961,0,0
2026-06-08 17:00:00,1.1541299999999999,1.15445,1.15366,1.15382,1713,1,0
2026-06-08 17:15:00,1.15382,1.15393,1.15309,1.15364,1559,0,0
