signal_time,direction,entry,sl,tp,risk,reward,rr
2026-06-15 15:45:00,BUY,1.16091,1.16057,1.16191,0.00033,0.001,3
2026-06-16 11:00:00,BUY,1.15766,1.15753,1.15807,0.00013,0.0004,3
