signal_time,direction,entry,sl,tp,risk,reward,rr
2024-01-03 11:30:00,SELL,1.26288,1.26375,1.26027,0.00087,0.00261,3
2024-01-03 17:30:00,BUY,1.26488,1.26222,1.27286,0.00266,0.00798,3
2024-01-11 00:00:00,BUY,1.27421,1.27178,1.2815,0.00243,0.00729,3
2024-01-12 16:45:00,BUY,1.27816,1.27669,1.28257,0.00147,0.00441,3
2024-01-15 17:30:00,BUY,1.27267,1.27167,1.27567,0.001,0.003,3
2024-01-17 04:45:00,SELL,1.26326,1.26365,1.26209,0.00039,0.00117,3
2024-01-17 08:15:00,BUY,1.26031,1.25987,1.26163,0.00044,0.00132,3
2024-01-23 12:15:00,SELL,1.27208,1.27283,1.26983,0.00075,0.00225,3
2024-01-29 14:30:00,SELL,1.27068,1.2713,1.26882,0.00062,0.00186,3
2024-01-31 09:45:00,BUY,1.26755,1.26667,1.27019,0.00088,0.00264,3
2024-01-31 14:15:00,BUY,1.26884,1.26806,1.27118,0.00078,0.00234,3
2024-02-01 06:30:00,SELL,1.26784,1.26822,1.2667,0.00038,0.00114,3
2024-02-02 10:00:00,SELL,1.27501,1.27675,1.26979,0.00174,0.00522,3
2024-02-07 09:30:00,BUY,1.26229,1.26176,1.26388,0.00053,0.00159,3
2024-02-08 00:45:00,BUY,1.26275,1.26228,1.26416,0.00047,0.00141,3
2024-02-13 15:00:00,SELL,1.2675,1.26838,1.26486,0.00088,0.00264,3
2024-02-15 09:15:00,SELL,1.25528,1.25626,1.25234,0.00098,0.00294,3
2024-02-27 11:45:00,SELL,1.26823,1.26912,1.26556,0.00089,0.00267,3
2024-02-29 13:00:00,SELL,1.26567,1.26654,1.26306,0.00087,0.00261,3
2024-02-29 16:30:00,BUY,1.26671,1.26559,1.27007,0.00112,0.00336,3
2024-02-29 18:30:00,SELL,1.26324,1.26404,1.26084,0.0008,0.0024,3
2024-03-01 16:45:00,BUY,1.26176,1.25994,1.26722,0.00182,0.00546,3
2024-03-04 20:30:00,SELL,1.26911,1.26949,1.26797,0.00038,0.00114,3
2024-03-06 01:00:00,SELL,1.2704,1.27082,1.26914,0.00042,0.00126,3
2024-03-06 14:00:00,SELL,1.27229,1.27303,1.27007,0.00074,0.00222,3
2024-03-06 17:15:00,BUY,1.273,1.27198,1.27606,0.00102,0.00306,3
2024-03-15 01:45:00,SELL,1.27436,1.27449,1.27397,0.00013,0.00039,3
2024-03-15 10:45:00,BUY,1.27444,1.27382,1.2763,0.00062,0.00186,3
2024-03-22 13:30:00,BUY,1.25856,1.25788,1.2606,0.00068,0.00204,3
2024-03-27 15:30:00,BUY,1.26145,1.26055,1.26415,0.0009,0.0027,3
