time,type,level
2024-03-04 15:45:00,Bullish BOS,2088.38
2024-03-05 10:15:00,Bullish BOS,2119.94
2024-03-05 10:15:00,Bullish BOS,2119.77
2024-03-05 15:15:00,Bullish BOS,2127.39
2024-03-06 16:30:00,Bullish BOS,2141.81
2024-03-06 20:15:00,Bullish BOS,2149.21
2024-03-06 20:15:00,Bullish BOS,2150.1
2024-03-07 06:00:00,Bullish BOS,2152.27
2024-03-08 01:45:00,Bullish BOS,2161.61
2024-03-07 15:15:00,Bullish BOS,2159.86
2024-03-08 10:15:00,Bullish BOS,2164.76
2024-03-18 04:45:00,Bearish BOS,2147.98
2024-03-07 21:15:00,Bullish BOS,2158.61
2024-03-08 15:30:00,Bullish BOS,2171.16
2024-03-08 19:00:00,Bullish BOS,2185.48
2024-03-21 00:15:00,Bullish BOS,2195.22
2024-03-21 00:00:00,Bullish BOS,2189.03
2024-03-12 07:30:00,Bearish BOS,2175.91
2024-03-20 21:15:00,Bullish BOS,2185.16
2024-03-12 07:30:00,Bearish BOS,2175.49
2024-03-20 21:15:00,Bullish BOS,2185.77
2024-03-12 07:30:00,Bearish BOS,2177.12
2024-03-20 21:15:00,Bullish BOS,2184.76
2024-03-12 07:30:00,Bearish BOS,2176.73
2024-03-12 14:15:00,Bearish BOS,2170.64
2024-03-18 03:15:00,Bearish BOS,2152.61
2024-03-13 15:30:00,Bullish BOS,2166.45
2024-03-18 04:30:00,Bearish BOS,2150.5
2024-03-13 12:30:00,Bullish BOS,2161.55
2024-03-13 19:00:00,Bullish BOS,2174.5
2024-03-20 20:45:00,Bullish BOS,2179.85
2024-03-14 14:15:00,Bearish BOS,2167.42
2024-03-18 03:15:00,Bearish BOS,2152.75
2024-03-15 11:45:00,Bullish BOS,2170.02
2024-03-18 00:00:00,Bearish BOS,2155.17
2024-03-18 04:30:00,Bearish BOS,2150.13
2024-03-20 20:00:00,Bullish BOS,2163.58
2024-03-19 10:00:00,Bearish BOS,2154.58
2024-03-19 00:15:00,Bullish BOS,2161.17
2024-03-20 03:15:00,Bullish BOS,2158.67
2024-03-20 20:00:00,Bullish BOS,2164.86
2024-03-28 18:30:00,Bullish BOS,2222.65
2024-03-21 15:45:00,Bearish BOS,2196.88
2024-03-28 12:45:00,Bullish BOS,2211.72
2024-03-22 09:15:00,Bearish BOS,2166.43
2024-03-22 18:45:00,Bearish BOS,2162.6
2024-03-26 11:00:00,Bullish BOS,2180.09
2024-03-25 15:30:00,Bullish BOS,2178.29
2024-03-25 15:30:00,Bullish BOS,2177.07
2024-03-28 12:15:00,Bullish BOS,2200.03
2024-03-27 11:30:00,Bullish BOS,2181.59
2024-03-27 11:30:00,Bullish BOS,2182.65
2024-03-28 07:30:00,Bullish BOS,2197.55
2024-03-28 07:30:00,Bullish BOS,2196.88
2024-03-28 11:45:00,Bullish BOS,2197.41
2024-03-28 14:00:00,Bullish BOS,2213.74
2024-03-28 18:15:00,Bullish BOS,2217.09
2024-03-28 22:45:00,Bullish BOS,2225.46
2024-04-01 02:45:00,Bullish BOS,2245.51
2024-04-02 17:00:00,Bullish BOS,2265.61
2024-04-01 15:00:00,Bearish BOS,2245.55
2024-04-01 17:00:00,Bearish BOS,2243.59
2024-04-02 11:00:00,Bullish BOS,2257.9
2024-04-02 07:30:00,Bullish BOS,2255.79
2024-04-02 07:30:00,Bullish BOS,2255.21
2024-04-02 17:00:00,Bullish BOS,2266.77
2024-04-02 22:45:00,Bullish BOS,2277.0
2024-04-03 19:15:00,Bullish BOS,2288.24
2024-04-03 10:15:00,Bearish BOS,2276.75
2024-04-03 19:15:00,Bullish BOS,2287.94
2024-04-03 17:00:00,Bullish BOS,2278.83
2024-04-03 18:15:00,Bullish BOS,2285.27
2024-04-04 21:45:00,Bullish BOS,2302.49
2024-04-05 17:15:00,Bullish BOS,2304.71
2024-04-04 14:45:00,Bearish BOS,2290.82
2024-04-05 04:00:00,Bearish BOS,2282.87
2024-04-05 17:15:00,Bullish BOS,2305.56
2024-04-05 04:00:00,Bearish BOS,2279.95
2024-04-05 12:30:00,Bullish BOS,2291.78
2024-04-05 16:45:00,Bullish BOS,2296.1
2024-04-08 05:30:00,Bullish BOS,2330.44
2024-04-23 04:45:00,Bearish BOS,2302.9
2024-04-09 10:00:00,Bullish BOS,2353.84
2024-04-09 04:15:00,Bullish BOS,2343.47
2024-04-08 17:00:00,Bearish BOS,2322.77
2024-04-23 04:30:00,Bearish BOS,2318.62
2024-04-09 04:00:00,Bullish BOS,2342.01
2024-04-09 10:00:00,Bullish BOS,2348.42
2024-04-11 22:30:00,Bullish BOS,2365.28
2024-04-10 16:00:00,Bearish BOS,2338.23
2024-04-10 07:45:00,Bullish BOS,2355.52
2024-04-11 21:00:00,Bullish BOS,2360.03
2024-04-10 15:30:00,Bearish BOS,2344.96
2024-04-10 15:30:00,Bearish BOS,2344.84
2024-04-11 20:00:00,Bullish BOS,2350.69
2024-04-23 04:30:00,Bearish BOS,2319.43
2024-04-11 20:00:00,Bullish BOS,2352.27
2024-04-11 19:30:00,Bullish BOS,2346.79
2024-04-11 11:00:00,Bearish BOS,2333.92
2024-04-22 21:15:00,Bearish BOS,2325.85
2024-04-11 19:30:00,Bullish BOS,2347.39
2024-04-12 10:00:00,Bullish BOS,2395.35
2024-04-12 16:30:00,Bullish BOS,2400.54
2024-04-12 19:00:00,Bearish BOS,2390.47
2024-05-20 04:00:00,Bullish BOS,2431.44
2024-04-15 17:00:00,Bearish BOS,2333.86
2024-04-15 17:00:00,Bearish BOS,2344.58
2024-04-23 04:30:00,Bearish BOS,2323.98
2024-04-16 01:00:00,Bullish BOS,2387.51
2024-04-16 19:30:00,Bullish BOS,2392.08
2024-04-16 09:30:00,Bearish BOS,2379.23
2024-04-16 19:30:00,Bullish BOS,2389.31
2024-04-17 23:45:00,Bearish BOS,2362.99
2024-04-16 17:45:00,Bullish BOS,2379.28
2024-04-17 23:45:00,Bearish BOS,2363.55
