time,type,price
2026-06-09 18:30:00,BSL_SWEEP,1.1554
2026-06-10 08:45:00,BSL_SWEEP,1.15538
2026-06-10 09:45:00,BSL_SWEEP,1.15532
2026-06-10 09:45:00,BSL_SWEEP,1.15528
2026-06-10 09:45:00,BSL_SWEEP,1.15525
2026-06-11 20:45:00,BSL_SWEEP,1.15584
2026-06-11 20:45:00,BSL_SWEEP,1.15568
2026-06-11 20:45:00,BSL_SWEEP,1.15558
2026-06-17 21:45:00,BSL_SWEEP,1.15426
2026-06-15 22:45:00,BSL_SWEEP,1.15896
2026-06-12 13:15:00,BSL_SWEEP,1.15746
2026-06-19 18:00:00,BSL_SWEEP,1.14743
2026-06-19 14:15:00,BSL_SWEEP,1.14666
2026-06-19 14:15:00,BSL_SWEEP,1.14667
2026-06-19 14:15:00,BSL_SWEEP,1.14658
2026-06-19 20:30:00,BSL_SWEEP,1.14756
2026-06-17 23:30:00,SSL_SWEEP,1.15
2026-06-08 11:30:00,SSL_SWEEP,1.15118
2026-06-09 19:30:00,SSL_SWEEP,1.15354
2026-06-10 18:45:00,SSL_SWEEP,1.15347
2026-06-10 23:45:00,SSL_SWEEP,1.15348
2026-06-10 14:45:00,SSL_SWEEP,1.1535
2026-06-11 00:00:00,SSL_SWEEP,1.15351
2026-06-10 23:45:00,SSL_SWEEP,1.15344
2026-06-17 21:30:00,SSL_SWEEP,1.15565
2026-06-12 22:45:00,SSL_SWEEP,1.15688
2026-06-15 12:00:00,SSL_SWEEP,1.16014
2026-06-16 09:45:00,SSL_SWEEP,1.15832
2026-06-16 09:45:00,SSL_SWEEP,1.15821
2026-06-17 10:30:00,SSL_SWEEP,1.16047
2026-06-18 21:00:00,SSL_SWEEP,1.14622
